S. No.,Emp ID,BU,Current Grade,Current Band Equivalence,Designation,Unique Job,Hay Score,Job Family/ Function mapping (as per finalised list) ,Sub Job Family,Department Group,Department,AA Emp. Code,Functional Emp. Code,Current CTC (in lakhs)
"1,325",AB1040,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,326",AB494,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,327",CMD,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,328",AB246,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,329",AB312,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,330",AB408,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,331",AB405,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.0
"1,332",AB406,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,333",AB407,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,334",AB409,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,335",AB1239,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,336",AB449,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,337",AB481,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,338",AB1259,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
"1,339",AB411,Dummy,,L0,Dummy,Dummy,0,Dummy,Dummy,Dummy,Dummy,AB1040,AB1040,0.00
218,AB229,HO,CX0,L1,CFO & Director,Group Chief Financial Officer ,"1,560",Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,CMD,CMD,0.00
327,AB338,HO,CX1,L1,Head - Innovation & Technology ( President ),Head-Innovation & Technology,"1,358",Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB494,AB494,0.00
557,AB568,HO,CX1,L1,President,Head-Operational Excellence / CMO,"1,372",Operational Excellence,Operational Excellence,Operational Excellence,Operational Excellence,AB494,AB494,0.00
"1,107",AB1118,BU-C,CX1,L1,President,SBU Head - BU-C,"1,040",Operations,Operations,Operations,Operations,AB494,AB494,0.00
"1,108",AB1119,BU-A,CX1,L1,President,SBU Head - BU-A,"1,312",Operations,Operations,Operations,Operations,AB494,AB494,0.00
219,AB230,HO,CX2,L2,CFO,Chief Financial Officer,994,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,CEO,AB229,0.00
278,AB289,HO,CX2,L2,Chief Human Resource Officer,Chief Human Resource Officer,"1,142",HR & Admin.,HR & Admin.,HR & Admin.,HR & Admin.,AB494,AB494,0.00
16,AB027,HO,L1B,L3,Senior General Manager,Head-Corporate Communications,702,Corporate Communications,Corporate Communications,Corporate Communications,Corporate Communications,AB494,AB494,56.68
279,AB290,HO,L1B,L3,Senior General Manager,Head-Talent Management and L&OD,571,HR & Admin.,Talent Management and L&OD,HR & Admin.,HR & Admin.,AB289,AB289,48.20
280,AB291,HO,L1B,L3,General Manager,Head-Security & Administration,619,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB289,AB494,39.45
281,AB292,HO,L1B,L3,Senior General Manager,Head-HR Operations & Industrial Relations,677,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB289,AB289,56.94
391,AB402,HO,L1B,L3,Senior General Manager,Head-Technology Development,725,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB338,AB338,84.01
392,AB403,HO,L1A,L3,Head,Head-Special Projects-Fluroine Chemistry,702,Innovation & Technology,Special Projects,Innovation & Technology,Special Projects,AB494,AB568,96.89
449,AB460,BU-C,L1B,L3,Senior General Manager,Head-Sales & Marketing- BU-C,702,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB1118,AB494,65.51
469,AB480,BU-A,L1A,L3,Associate Vice President,Head-Sales & Marketing-BU-A,666,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB1119,AB1119,84.13
566,AB577,BU-A,L1B,L3,Senior General Manager,Unit Head-BU- A,904,Operations,Operations,Operations,Operations,AB1119,AB1119,71.17
"1,199",AB1210,HO,L1A,L3,Associate Vice President,Head-Strategy ,805,Strategy,Strategy,Strategy,Strategy,AB494,AB494,80.80
"1,265",AB1276,BU-A,L1A,L3,Head,Head-Strategic Sourcing,732,Supply Chain Management,Materials/ Strategic Sourcing,Supply Chain Management,Materials,AB1119,AB1119,72.00
220,AB231,HO,L2A,L4,Deputy General Manager,"Lead-Finance, Treasury & Accounts",634,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB230,AB230,47.71
226,AB237,BU-C,L2B,L4,Assistant General Manager,Site Lead-Finance & accounts (mid),496,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB966,AB1118,35.69
